이름,주소,전화번호,위도,경도,가격정보,장소정보,주차난이도,주차장 정보,편의시설 정보,홈페이지URL,장소이름,이미지 경로,썸네일이미지 경로,행사 시작일,행사 종료일,운영시간,이용시간,연령제한,예약URL,요약정보,행사 설명,할인정보,서브 행사 정보,프로그램 내용,실내외 여부,추가 이미지 정보
웰컴 대학로,서울특별시 종로구 대학로 120대학로 일대,02-743-5220,127.0023295240,37.5819417723,무료,,,,,,대학로 일대,http://tong.visitkorea.or.kr/cms/resource/43/2997743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2997743_image3_1.jpg,20231014,20231028,상시,,,,"웰컴대학로는 한국 공연예술의 메카, 대학로를 다양하게 즐길 수 있는 공연관광 페스티벌로 2017년부터 매년 가을 국내외 관객 및 관광객을 대상으로 개최되고 있다. K-퍼포먼스를 대표하는 다양한 공연과 대학로의 맛집과 카페, 이야기가 있는 골목 투어 등 즐길 거리가 가득한 웰컴대학로 페스티벌에 여러분을 초대한다.","1. 개막식(Opening Roadshow)- 아시아 최대 규모! 대학로 차 없는 거리에서 펼쳐지는 환상적인 퍼레이드와 축하공연, 개막선포식2. 씨어터(Theater)- 페스티벌 기간 중 대학로 인근에서 만날 수 있는 다양한 공연3. K-스테이지(K-Stage)- K-퍼포먼스를 5개 언어로 만나보다! 전세계 무료 온라인 송출 *10/16,17,18,23,24,25 18:00~24:00 플랫폼 : 유튜브,네이버TV,마펑워4. 프린지(Fringe)- 대학로 거리에서 펼쳐지는 쇼케이스 및 버스킹 등 다양한 야외공연5. 씨어터 마켓(Theater Market)- 참가작외 공연관광 상품화 홍보 및 국내외 전문가와 네트워킹 할 수 있는 만남의 장6. 대학로 투어(D-Tour)- 공연문화 중심지인 대학로의 명소를 돌며 역사와 의미를 알아보고 게임과 미션을 통해 진짜 대학로를 경험하는 투어 *주말 및 공휴일 14:00,17:007. 폐막식(Closing Ceremony)- 웰컴대학로 페스티벌의 피날레 시상식 및 특별공연이 가득한 마지막 무대",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/44/2997744_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/45/2997745_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/46/2997746_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/47/2997747_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/48/2997748_image2_1.jpg']"
의령 리치리치 페스티벌(의령 부자축제),"경상남도 의령군 의병로8길 44 서동생활공원(종합사회복지관,국민체육센터솥바위 등 의령군 일원",055-570-2510,128.2575269276,35.3161902468,무료,,,,,,"의령읍 서동생활공원, 솥바위 등 의령군 일원",,,20231006,20231009,10:00~22:00 * 야간프로그램에 따라 상이하게 운영,,전연령,,"의령 리치리치 페스티벌(의령 부자축제)은 2022년 처음 개최된 의령 가을 축제이다.
의령 관문에는 남강이 흐르고 있으며, 이 남강에 솥을 닮은 바위가 하나 있는데 이를 솥바위라 하며, 예로부터 솥바위를 중심으로 반경 8km안에 부귀(富貴)가 끊이지 않는다는 전설이 있으며, 실제 삼성그룹과 엘지그룹, 효성그룹 창시자가 솥바위로 8km 이내에서 출생하여 전설이 현실이 되고 있다.
의령에는 삼성그룹 창업주의 호암 이병철 생가와 기부왕으로 알려진 삼영화학 관정 이종환 생가가 있어 부자들이 많이 태어나 자란 곳으로 유명한 곳이다.
솥바위 전설을 콘텐츠로 하는 유일무이한 '부자기운' 테마의 축제 개최로 축제를 통해 인생 전환의 계기가 되고, 의령만의 친환경 무대 조성으로 새로운 볼거리 제공과 힐링을 선사하며, 축제기간에 군 전체를 무대로 하는 다양한 동반축제도 개최하고 있어 관광객에 많은 볼거리를 제공한다.",,,,,False,[]
의좋은 형제 축제,충청남도 예산군 대흥면 의좋은형제길 3의좋은 형제 공원 일원,041-331-0619,126.7922087858,36.6065758233,무료,,,,,,의좋은 형제 공원 일원,http://tong.visitkorea.or.kr/cms/resource/61/2998761_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2998761_image3_1.jpg,20231028,20231029,10:00~20:00,,,,"고려 말 조선 초 충남 예산군 대흥면에서 실존한 의좋은 형제(이성만, 이순) 이야기를 주제로하는 축제이다. 의좋은 형제 축제를 통하여 가족사랑의 의미를 부각 시키고 온 국민들의 공감대를 형성하는 소통중심 차별화된 축제로 가족소통, 볏짚, 시골과 자연을 테마로 하는 소박하지만 내실있는 축제이며 2023 의좋은 형제 축제의 주제는 '쉼표'로 대표 프로그램으로 '대화가 필요해' '볏짚놀이터' '일상탈출'이 있다. 예산시장, 출렁다리, 모노레일등 주변 관광지와 함께 볼거리 즐길거리가 가득한 가족 사랑의 축제이다. 볏짚미로, 대형볏짚미끄럼틀, 볏짚조형물, 국화꽃밭, 현지 주민들이 직접 생산한 농산물을 판매하는 전통시장, 버스킹 공연, 다양한 먹거리도 있어 눈과 귀와 입이 즐거운 축제이다.","1.공식행사: 개막퍼포먼스(라인로켓), 캠프파이어 2.대표프로그램: 미션스탬프투어(대화가 필요해)   3.참여프로그램: 볏짚놀이터(볏짚미로, 볏짚미끄럼틀, 볏짚체험, 볏짚챌린지)     4.공연프로그램: 버스킹 5.전시프로그램: 대형 볏짚조형물6.온라인프로그램: 카피샷 커피샷 7.캠핑프로그램 ",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/59/2998759_image2_1.jpeg', 'http://tong.visitkorea.or.kr/cms/resource/62/2998762_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/63/2998763_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/64/2998764_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/65/2998765_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/66/2998766_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/67/2998767_image2_1.jpg']"
이월드 인생꽃 사진관,대구광역시 달서구 두류공원로 200(두류동),053-620-0001,128.5648463453,35.8548989086,이월드 홈페이지 참고,,,,,,이월드,http://tong.visitkorea.or.kr/cms/resource/38/2999338_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/38/2999338_image3_1.JPG,20230916,20231105,이월드 홈페이지 참고,,,,"인생꽃 사진관은 황화 코스모스와 핑크뮬리를 만날 수 있는 이월드 가을축제이다.이번 이월드 가을축제 인생꽃 사진관에서는 전년보다 확장된 규모의 을 선보인다. 축제 기간동안 1억만송이 황화코스모스로 가득 채워진 주황빛 물결의 이월드를 만날 수 있다. 또한 주주팜을 장식할 도 선보인다. 드넓게 펼쳐진 꽃들 사이에 파묻혀 인생사진을 건져보자.놀이기구와 꽃을 함께 즐길 수 있는 이월드 인생꽃 사진관은 2023년 9월 16일을 시작으로 11월 05일까지 진행된다.이 기간동안 1탄 황화 코스모스, 2탄 핑크뮬리를 한주도 빠짐없이 이월드에서 즐길 수 있다.또한 이월드 가을축제에서는 외에도  등 가을 내내 다채로운 볼거리를 제공한다. 낮에는 귀여운 펌킨 프렌즈와 함께 동화같은 이월드를, 밤에는 매지컬 나이츠가든을 만나볼 수 있다. 또한 가을 밤하늘을 수놓는 화려한 불꽃쇼 는 이월드 가을 방문을 놓치면 안되는 이유이다.※ 자세한 행사내용은 이월드 인스타그램 @eworld.official 또는 공식 홈페이지를 참조.※ 일부 행사는 현장상황에 따라 변경 및 취소될 수 있다.",이월드 홈페이지 참고,,,,False,"['http://tong.visitkorea.or.kr/cms/resource/36/2999336_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/37/2999337_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/39/2999339_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/40/2999340_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/42/2999342_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/43/2999343_image2_1.jpg']"
이월드 펌킨 페스타,대구광역시 달서구 두류공원로 200,070-7549-8112,128.5601217577,35.8550515822,이월드 홈페이지 참고,,,,,,이월드,http://tong.visitkorea.or.kr/cms/resource/05/2999405_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2999405_image3_1.jpg,20230909,20231105,이월드 홈페이지 참고,,,,"이월드 대표 캐릭터 비비와 친구들이 가을을 맞이해 펌킨 프렌즈로 변신하여 마법 같은 펌킨 페스타로 여러분을 초대한다. 올해 새롭게 선보이는 이월드 가을 축제 에서는 가을 내내 주황색을 메인 컬러로 새로운 볼거리 및 다양한 체험과 이벤트를 만날 수 있다. 낮에는 마법에 걸린 펌킨 프렌즈 타운에서 펌킨 플레이를 즐길 수 있는 , 밤에는 이월드 곳곳에서 가을밤을 물들이는 반딧불이와 신비로운 오로라 가든, 가을바람이 느껴지는 것 같은 버들 로드를 만날 수 있는 도 선보인다. 또한 축제 기간 동안 이월드에서는 캔디 엠버서더와 펌킨 프렌즈 등 도 만나볼 수 있다. 마법에 걸린 비비프렌즈들과 함께 펌킨페스타로 떠나보자. 도 이번 이월드 펌킨페스타를 놓치면 안되는 이유이다. 펌킨 페스타 기념 새롭게 변신한 고스트 하우스에서 만날 수 있는 에서는 5가지 포비아 극복 체험을 경험할 수 있으며, 이 시즌 동안 이월드에서 훈남 집사 좀비도 만나볼 수 있다. 또한 가을 감성 저격  또한 이월드 펌킨 페스타를 놓치면 안 되는 이유이다. 동물을 다양한 색깔과 재료로 표현해 작업하는  김우진 작가의 동물 조각 전시를 포시즌 가든에서 만나보자. 또한 민복기 작가의 토끼 작품도 이월드 정문에서 만나볼 수 있다. 놀이기구와 함께 즐길 수 있는 이월드 펌킨 페스타는 2023년 09월 09일을 시작으로 11월 05일까지 진행된다. 축제 기간 동안 펌킨 포토존으로 꾸며진 이월드를 만날 수 있으며, 펌킨 페스타와 함께 국내 최초 360도를 회전하는 메가스윙 및 30여 종의 놀이기구를 모두 즐길 수 있다.또한 이월드 가을 축제에서는  외에도  , 등 가을 내 내 다채로운 볼거리를 제공한다. 2천 평 가득 드넓게 펼쳐진 황화 코스모스와 핑크뮬리를 만날 수 있는 과 가을 밤하늘을 수놓는 화려한 불꽃쇼 는 이월드의 가을 축제를 놓치면 안 되는 또다른 이유이다.※ 자세한 행사내용은 이월드 인스타그램 @eworld.official 또는 공식 홈페이지를 참조.※ 일부 행사는 상황에 따라 변경 및 취소될 수 있습니다.",이월드 홈페이지 참고	,,,,False,"['http://tong.visitkorea.or.kr/cms/resource/07/2999407_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/08/2999408_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/09/2999409_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/10/2999410_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/11/2999411_image2_1.jpg']"
이천쌀문화축제,경기도 이천시 공원로 48,031-644-4135~7,127.4448702054,37.1798991253,무료,,,,,,이천농업테마공원,http://tong.visitkorea.or.kr/cms/resource/78/2384378_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2384378_image2_1.JPG,20231018,20231022,개막놀이 19일 14:00폐막놀이 23일 18:00,,,,이천쌀문화축제는 우리나라 주식이며 전국 최고의 미질을 자랑하는 이천의 대표적인 특산물인 쌀을 주제로 열리는 종합 문화관광축제이다. 어린세대에게 전통 농경문화를 체험하고 어른들에겐 향수를 자아내며 함께 어울릴 수 있는 축제의 한마당으로 남녀노소 이천쌀의 진미를 느낄 수 있는 다양하고 재미있는 각종 행사가 열린다.,"1. 메인 프로그램  - 2천명 2천원 가마솥밥 : 초대형 가마솥에서 지은 2천인분의 이천쌀밥을 2천원에 푸짐하게 맛볼 수 있는 프로그램   - 무지개가래떡만들기 : 600m의 무지개 색 가래떡을 뽑아 관광객과 나누어 먹으며 가을걷이의 풍성함과 농촌의 정겨움을 느낄 수 있는 프로그램  2. 부대 프로그램  - 문화예술공연 : 개막놀이, 폐막놀이, 거북놀이, 마당극, 지역 문화예술 단체 공연, 동화인형극, 유치원 공연 등  - 전시 프로그램 : 임금님표이천브랜드홍보관, 농경유물 전시, 전통음식 및 천연염색연구회 전시 등  - 포토존 조성 : LED은하수, 다랭이논 등  3. 소비자 참여 이벤트  - 시식 행사 : 뻥튀기 시연 및 무료 시식 행사, 엿만들기 체험 및 시식 등  - 체험 프로그램 : 이천쌀문화학교 운영, 찾아가는 서당 운영, 모내기, 탈곡, 볏짚 공예 체험 등  - 참여 이벤트 : 노래자랑, 줄다리기, 라이스홀 경기, 윷놀이 등  4. 기타  - 이천쌀 및 쌀가공품 전시, 홍보, 판매 등 [축제 먹거리 알리오] 축제 1주일 전 공개 예정.",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/33/2689733_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/35/2689735_image2_1.png']"
익산 미륵사지 미디어아트 페스타,전라북도 익산시 금마면 기양리32-7  익산 미륵사지 일원,1577-0072,127.0305975801,36.0136034395,무료,,,,,,익산 미륵사지 일원,http://tong.visitkorea.or.kr/cms/resource/03/2846403_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2846403_image2_1.jpg,20230909,20231009,19:30~21:30,,,,"""용화세계, 백제人 익산"" 과거, 현재, 미래로의 백제 여정을 떠난다.2023 익산 미륵사지 미디어아트 페스타는 익산 미륵사지를 기반으로 창조적인 미디어아트를 활용한 행사이다. 매일 밤 펼쳐지는 익산 미륵사지의 동탑과 서탑을 연결한 대형 스크린에서 펼쳐지는 프로젝션 맵핑, 무용과 함께 토요일과 일요일에 진행되는 . 토요일에 진행되는  등 미륵사지 전역은 야경을 즐길 수 있는 환상적인 공간으로 변한다.","1. 메인프로그램 : 미디어파사드, 융복합 미디어쇼, 드론라이트쇼2. 부대프로그램 : 빛조형 작품 전시, 경관조명, 플리마켓, 버스킹 공연, 체험 프로그램, 인생네컷 등",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/04/2846404_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/05/2846405_image2_1.jpg']"
인천개항장 문화재 야행,인천광역시 중구 신포로27번길 80 중구청인천 개항장 문화지구 일원,,126.6213645301,37.4735225945,무료,,,,,,인천개항장 문화지구 일원,http://tong.visitkorea.or.kr/cms/resource/30/2992830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2992830_image3_1.jpg,20230826,20231022,18:00 ~ 22:00,1시간,전연령,,"인천개항장은 문화재가 주는 독특한 분위기와 시선, 낯설지만 새로운, 유니크한 매력이 있다.  역사와 미래가 공존하는 상징적인 공간으로 문화재와 함께 과거,현재,미래를 오고가는 시간여행으로 초대한다.140여년 전 개항과 함께 우리나라 최초, 최고의 근대문화와 문물을 받아들인 개항시기 가장 화려하고 활력이 넘쳤던 거리 
인천 개항장 오래된 것과 다시 만남, 2023년 개항장의 문을 열다.","8야 프로그램
야경 - 문화재 미디어 아트 
야로 - 미션 : 파서블 스탬프 투어, 개항 패션 위크 
야설 - 개항장 단만극, 140 플래시몹, 스토리텔링 도보 탐방  
야사 - 개항장 변천사 """"The story"""", 최강야구 한용단, 오리진인천, 모던인천 
야화 - 문화재 야간 개방 ""문화재는 살아있다."" , 무형 문화재 체험, '개항장 쓰리고 -그리고,만들고,칠하고' 
야시 -  아트마켓 1883 
야식 - 미식투어 ' 먹어서 세계속으로' , 개항장 먹투어 , 누드럭리 
야숙 - 개항품은 밤",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/77/2736277_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/84/2736284_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/62/2862362_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/31/2992831_image2_1.jpg']"
임실N치즈축제,전라북도 임실군 성수면 도인2길 50(성수면),063-643-3900,127.3012056927,35.6328486749,입장료 무료 / 체험비 유료,,,,,,"임실치즈테마파크, 임실치즈마을, 임실읍  일원",http://tong.visitkorea.or.kr/cms/resource/66/2949766_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2949766_image3_1.jpg,20231006,20231009,,3시간,1세부터 누구나  ( 가족/연인/친구/ 단체 등),,"1967년 작고 척박한 시골마을인 임실땅으로 선교활동을 하러 오신 지정환 신부님께서 산양 두 마리를 시작으로, 수많은 시행착오와 고생 끝에 마을 청년들과 함께 만들어낸 대한민국 최초 치즈를 테마로 메인축제장인 임실치즈테마파크에서 문화·역사·관광자원을 활용한 프로그램을 운영하여 임실N치즈의 가치와 지정환신부님의 정신을 널리 알리고 임실군민과 방문객들이 함께 즐기는 축제이다.","1. 메인 프로그램 (국가대표 쌀피자 밀키트 쿠킹클래스)  -임실N치츠축제의 핵심콘텐츠인 치즈를 이용하여 온·오프라인으로 동시에 체험하면서 가정에서도 쉽게 요리 할수 있는방법을 알아가는 프로그램으로 셰프와 함께하는 쌀피자 밀키트 요리체험  (임실N치즈에끌로퍼레이드)  -치즈 역사성을 알릴 수 있는 치즈 퍼레이드 카와 치즈장인들과 방문객이 함께 참여하는 퍼레이드  2. 이슈 프로그램 (쭉쭉늘려 내치즈) - 모짜렐라 치즈와 스트링 치즈를 이용하여 많은 인원이 함께 완성시키는 대동 한마당 프로그램 (임실N치즈페어) - 임실에서 제조된 세계 각국의 다양한 종류의 자연치즈 전시 등을 통하여 고품질의 임실N치즈 시식 경험 (임실N치즈경매) - 임실N치즈 브랜드 홍보 목적의 일환으로 방문객들에게 질 좋고 맛좋은 임실N치즈를 저렴한 가격에 구매할 수 있는 기회 제공 3. 기타(먹거리 등)  - 임실N치즈를 이용한 푸드코드, 임실N치즈 및 농산물 판매[축제 먹거리 알리오] 축제 1주일 전 공개 예정 ",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/65/2949765_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/68/2949768_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/69/2949769_image2_1.jpg']"
자라섬재즈페스티벌,경기도 가평군 가평읍 달전리 1-1,031-581-2813~4,127.5354271394,37.8104943540,"일반3일권 120,000원2일권 100,000원1일권 60,000원청소년 1일권 40,000원장애인, 65세 이상1일권 30,000원반려견 동반좌석1일권 60,000원",,,,,,"경기도 가평군 자라섬, 가평읍 일대",http://tong.visitkorea.or.kr/cms/resource/80/2844180_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2844180_image3_1.jpg,20231007,20231009,,,,,"*하기 축제 내용은 전년도(2022년) 축제 내용으로, 2023년도 축제 내용은 업데이트 중에 있습니다.*자라섬재즈페스티벌은 57개국 약 1200개 팀의 아티스트가 다녀간 아시아 대표 재즈페스티벌이다. 매년 10월이면 축제의 섬으로 변모하는 경기도 가평 자라섬에서 자연, 가족, 휴식 그리고 음악을 모토로 '온 세대가 함께 즐길 수 있는 소풍 같은 축제'를 선보이고 있다.스윙, 퓨전, 보사노바, 비밥, 월드뮤직 등 수많은 하위 카테고리로 나뉘어지는 재즈는 모든 장르를 수용할 수 있는 특이한 음악이다. 19년 동안 재즈의 이름으로 묶일 수 있는 무수한 음악들을 국내에 소개하며 한국 음악 생태계의 다양화를 꾀했던 자라섬재즈페스티벌이 올해는 주빈국 스페인을 비롯해 남아메리카, 북아메리카, 아시아 등의 아티스트들을 선보인다. 최종 라인업에 이름을 올린 재즈미어 혼, 은두두조 마카티니 등과 더불어 1차 라인업으로 공개되어 많은 호응을 얻었던 조이 알렉산더, 아비샤이 코헨, 김현철, 하드피아노 등 실력있는 아티스트들로 ' 믿고 듣는 자라섬재즈' 라인업을 완성했다. 최정상급 재즈 공연뿐만 아니라 다양한 볼거리, 즐길거리, 먹거리가 가득한 자라섬재즈페스티벌은 10월 1일부터 경기도 가평 자라섬, 가평 읍내 일대에서 개최된다. 일반티켓, 반려견 동반좌석, 캠핑패키지는 투어비스에서 구매할 수 있다.  ",Jazz Island (유료) 16:30 ~ 21:10Festival Lounge (무료) 12:30 ~ 16:20Jazz Cube (무료) 20:30 ~ 23:20Cinema Stage (무료) 22:00 ~ 00:10스테이지 청 (무료) 12:00 ~ 17:30스테이지 춘 (무료) 15:10 ~ 17:20,,,,False,"['http://tong.visitkorea.or.kr/cms/resource/77/2844177_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/78/2844178_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/79/2844179_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/80/2844180_image2_1.jpg']"
전주독서대전,전라북도 전주시 완산구 전주천동로 20 전주한벽문화관,063-230-1858,127.1587442277,35.8118258696,무료,,,,,,"전주한벽문화관, 완판본문화관 일원",http://tong.visitkorea.or.kr/cms/resource/55/2987155_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/55/2987155_image3_1.png,20231013,20231015,10:00~20:00,,,,"전주독서대전은 대한민국 최대 규모 책 축제로, 올해는 2023년 10월 13일(금)부터 10월 15일(일)까지 전주한벽문화관, 완판본문화관 일원에서 진행된다.","1. 메인프로그램 : 강연, 공연, 전시, 체험, 북마켓 등2. 소비자 참여 프로그램 : 경연(어린이 독후활동 대회, 가족 독서골든벨 등)",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/54/2987154_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/55/2987155_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/56/2987156_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/57/2987157_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/58/2987158_image2_1.png']"
제28회 부산국제영화제 (28th BUSAN International Film Festival),부산광역시 해운대구 수영강변대로 120(우동),1688-3010,129.1270576924,35.1707946470,"유/무료 개〮폐막식 : 30,000원일반상영작 : 9,000원(예정)아시아콘텐츠어워즈 : 30,000원미드나잇패션 : 20,000원",,,,,,영화의전당,http://tong.visitkorea.or.kr/cms/resource/07/2977907_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2977907_image3_1.jpg,20231004,20231013,09:00-22:00(예정) 영화상영 및 이벤트 일정에 따라 일별로 상이,,,"공식 홈페이지 http://www.biff.kr
예매페이지http://preticket.biff.kr","매년 가을, 부산 영화의전당 일대에서 개최되는 아시아 최대 규모의 국제영화제다. 지난 1996년 국내 최초의 국제영화제로 출범한 부산국제영화제는 부분 경쟁을 도입한 비경쟁영화제로 영화산업의 종합 플랫폼으로 자리 잡았다. 뿐만 아니라, 지난 27년간 문화예술도시 부산의 국제적 이미지 제고는 물론 세계 영화계에서 한국영화의 위상을 높이며 영화를 통한 국제 교류, 제작 및 배급 여건을 향상시키며 한국영화 발전의 원동력이 되었다. 해마다 다채로운 장르와 전 세계 다양한 지역의 영화로 글로벌 영화계의 흐름을 조망하는 부산국제영화제는 재능 있는 아시아 감독과 영화들을 발견, 지원하며 아시아영화의 홈타운으로서 매년 아시아영화의 비전을 제시하고 있다.
","1)상영 프로그램- 상영부문 : 아시아영화의 창, 온 스크린 등 16개 부문- 상영규모 : 70여 개국 250여 편 (프리미어 100편)- 시상부문 : 뉴 커런츠 상 등 21개 부문- 프로그램 이벤트 : 개막식/폐막식, 액터스 하우스, 야외무대인사, 오픈토크, 아주담담, 스페셜 토크, 마스터 클래스, 짧은 영화 긴 수다 등2)부대행사- 아시아콘텐츠&필름마켓(Asian Contents & Film Market)- 부산스토리마켓(Busan Story Market)- 아시아프로젝트마켓(Asian Project Market)- 아시아영화펀드(Asian Cinema Fund)- 플랫폼부산(Platform BUSAN)- CHANELXBIFF 아시아영화아카데미(CHANELXBIFF Asian Film Academy)- 포럼 비프(Forum BIFF)- 커뮤니티비프(Community BIFF)- 동네방네비프(BIFF Everywhere) ",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/08/2977908_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/09/2977909_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/10/2977910_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/11/2977911_image2_1.JPG']"
제2회 K-FOOD천안들깨페스티벌,충청남도 천안시 서북구 직산읍 삼은리,041-583-3751,127.1600151949,36.8880498983,"무료 (들깨시식 스팟- 유료), 사은품 추가 증정",,,,,,삼은생태공원,http://tong.visitkorea.or.kr/cms/resource/79/2988079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2988079_image3_1.jpg,20231014,20231014,11:00 ~ 20:00,,,,우리농산물의 우수성을 홍보하고 다양한 들깨 관련 콘텐츠 개발을 통해 그 소비를 촉진하고 농업인 소득증대를 기여하고자 축제를 준비했다. 메인 행사로는 전국들깨요리경연대회를 개최하여 다양한 레시피를 발굴하고 올바른 들깨 소비를 홍보한다. 행사를 통해 건강한 먹거리를 원하는 국민 니즈에 맞게 들깨 음식을 준비하였으며 다양한 문화공연 및 체험행사로 소중한 추억을 만들어 볼 수 있다.,"전국들깨요리경연대회, 들깨문화제, 천안들깨가요제, 들깨요리시식 및 시연회, 우수 농산물 판매장, 어린이 체험존, 전통놀이존, 들깨먹거리 장터 등의 행사가 진행된다. ",,,,False,[]
제2회 광주 버스킹 월드컵,광주광역시 동구 서남로 15F,062-232-1008,126.9226794433,35.1455778836,무료,,,,,,"ACC하늘마당, 5.18민주광장, 상상마당, 충장축제 주무대",,,20231003,20231009,2023.10.03. 09:00 ~ 2023.10.09. 23:00,,,,"세계적인 길거리 음악축제로 발돋움하는 '제2회 광주 버스킹 월드컵'은 글로벌 버스킹 오디션 경연 프로그램이다. 온라인 예선을 거쳐 본선에 진출한 국내외 버스킹 뮤지션들이 7일에 걸쳐 펼치는 길거리 공연은 광주 전역을 흥겨운 축제의 장으로 만든다. K-POP, K-Culture로 한국에 대한 세계인의 관심이 고조되는 가운데 '광주 버스킹 월드컵'는 ‘문화관광도시 광주’ 위상을 드높일 세계적인 음악 축제다.",,,,,False,[]
제35회 춘천인형극제,강원특별자치도 춘천시 영서로 3017(사농동),033-242-8452,127.7202320249,37.9216376309,축제별 상이,,,,,,춘천인형극장 및 춘천시 일대,http://tong.visitkorea.or.kr/cms/resource/68/2818868_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2818868_image2_1.jpg,20230422,20231225,축제별 상이/분산개최,,,,"올해로 35회째를 맞이하는 '춘천인형극제'는 국내 뿐만 아니라 세계 각국의 인형극단이 참가하는 아시아 최대 인형극 축제이다. 또한 다양한 인형극 문화예술프로그램을 제공하며, 인형극 장르의 확산과 발전을 위해 체험, 전시, 워크숍 등 다채로운 프로그램을 진행하는 문화예술축제이다. ","08.03 ~ 08.06 [제35회 춘천인형극제 : 코코바우 스타트] 신작 인형극, 아마추어 인형극단, 시민들과 함께 춘천인형극제의 시작을 알리는 축제 
09.01 ~ 09.06 [제35회 춘천인형극제] 국내부터 해외 인형극단이 참가하는 춘천인형극제의 메인축제  
12.24 ~ 12.25 [제35회 춘천인형극제 : 코코바우 이글루] 최고의 작품을 다시 만나보며 한 해를 마무리하는 축제 
*자세한 내용은 춘천인형극제 홈페이지에서 확인
",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/64/2818864_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/65/2818865_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/66/2818866_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/67/2818867_image2_1.jpg']"
